,Name,mfg_num,lrv,rgb,category,hexcode
1004,Espresso Martini,N210-4,LRV 34,"['R 170', 'G 156', 'B 142']",Neutral color family,background-color:#AA9C8E;
1005,Caffeine,N210-5,LRV 20,"['R 138', 'G 121', 'B 106']",Neutral color family,background-color:#8A796A;
1006,Swiss Brown,N210-6,LRV 12,"['R 110', 'G 95', 'B 83']",Neutral color family,background-color:#6E5F53;
1007,Havana Coffee,N210-7,LRV 7,"['R 85', 'G 73', 'B 65']",Neutral color family,background-color:#554941;
1008,Spun Wool,N220-1,LRV 73,"['R 227', 'G 222', 'B 212']",Neutral color family,background-color:#E3DED4;
1009,Ashen Tan,N220-2,LRV 60,"['R 211', 'G 202', 'B 191']",Neutral color family,background-color:#D3CABF;
1010,Smokestack,N220-3,LRV 46,"['R 190', 'G 178', 'B 165']",Neutral color family,background-color:#BEB2A5;
1011,Shiitake,N220-4,LRV 32,"['R 165', 'G 152', 'B 138']",Neutral color family,background-color:#A5988A;
1012,Ottertail,N220-5,LRV 24,"['R 147', 'G 133', 'B 119']",Neutral color family,background-color:#938577;
1013,Landmark Brown,N220-6,LRV 14,"['R 117', 'G 102', 'B 87']",Neutral color family,background-color:#756657;
1014,Cavalry Brown,N220-7,LRV 10,"['R 101', 'G 86', 'B 73']",Neutral color family,background-color:#655649;
1015,Castle Beige,N230-1,LRV 68,"['R 224', 'G 213', 'B 202']",,background-color:#E0D5CA;
1016,Old Map,N230-2,LRV 60,"['R 213', 'G 201', 'B 188']",Neutral color family,background-color:#D5C9BC;
1017,Armadillo,N230-3,LRV 50,"['R 200', 'G 185', 'B 171']",,background-color:#C8B9AB;
1018,Chic Taupe,N230-4,LRV 33,"['R 170', 'G 151', 'B 136']",Neutral color family,background-color:#AA9788;
1019,Dry Brown,N230-5,LRV 24,"['R 150', 'G 131', 'B 116']",Neutral color family,background-color:#968374;
1020,Whiskey Barrel,N230-6,LRV 17,"['R 133', 'G 112', 'B 95']",Neutral color family,background-color:#85705F;
1021,Rustic Tobacco,N230-7,LRV 11,"['R 110', 'G 89', 'B 73']",Neutral color family,background-color:#6E5949;
1022,Cascade Beige,N240-1,LRV 72,"['R 231', 'G 219', 'B 202']",Neutral color family,background-color:#E7DBCA;
1023,Adobe Sand,N240-2,LRV 65,"['R 225', 'G 208', 'B 190']",,background-color:#E1D0BE;
1024,Sonoran Desert,N240-3,LRV 50,"['R 207', 'G 184', 'B 161']",Neutral color family,background-color:#CFB8A1;
1025,Sierra,N240-4,LRV 38,"['R 187', 'G 160', 'B 136']",,background-color:#BBA088;
1026,Rodeo Tan,N240-5,LRV 28,"['R 167', 'G 139', 'B 116']",Neutral color family,background-color:#A78B74;
1027,Wild Mustang,N240-6,LRV 18,"['R 143', 'G 113', 'B 92']",Neutral color family,background-color:#8F715C;
1028,Joshua Tree,N240-7,LRV 14,"['R 127', 'G 101', 'B 81']",Neutral color family,background-color:#7F6551;
1029,Clay Dust,N250-1,LRV 78,"['R 240', 'G 227', 'B 212']",Yellow color family,background-color:#F0E3D4;
1030,Bali Sand,N250-2A,LRV 59,"['R 221', 'G 197', 'B 175']",Orange color family,background-color:#DDC5AF;
1031,Pottery Wheel,N250-3,LRV 44,"['R 202', 'G 172', 'B 145']",Neutral color family,background-color:#CAAC91;
1032,Artisan Crafts,N250-4,LRV 34,"['R 185', 'G 151', 'B 121']",Orange color family,background-color:#B99779;
1033,Split Rail,N250-6,LRV 17,"['R 142', 'G 108', 'B 81']",Orange color family,background-color:#8E6C51;
1034,Mission Brown,N250-7,LRV 12,"['R 119', 'G 92', 'B 71']",Neutral color family,background-color:#775C47;
1035,Vanilla Mocha,N260-1,LRV 73,"['R 235', 'G 219', 'B 200']",Neutral color family,background-color:#EBDBC8;
1036,Almond Latte,N260-2,LRV 59,"['R 222', 'G 199', 'B 173']",,background-color:#DEC7AD;
1037,Polo Tan,N260-3,LRV 46,"['R 202', 'G 176', 'B 149']",Neutral color family,background-color:#CAB095;
1038,Distant Land,N260-5,LRV 27,"['R 166', 'G 138', 'B 113']",,background-color:#A68A71;
1039,Outdoor Cafe,N260-6,LRV 19,"['R 141', 'G 116', 'B 94']",,background-color:#8D745E;
1040,Folk Guitar,N260-7,LRV 14,"['R 122', 'G 99', 'B 79']",,background-color:#7A634F;
1041,High Style Beige,N270-1,LRV 69,"['R 228', 'G 215', 'B 195']",,background-color:#E4D7C3;
1042,Lentil,N270-2,LRV 60,"['R 220', 'G 200', 'B 176']",Yellow color family,background-color:#DCC8B0;
1043,Coco,N270-3,LRV 52,"['R 209', 'G 187', 'B 161']",Yellow color family,background-color:#D1BBA1;
1044,Oxford Street,N270-4,LRV 37,"['R 189', 'G 160', 'B 127']",,background-color:#BDA07F;
1045,River Road,N270-5,LRV 29,"['R 174', 'G 141', 'B 107']",Yellow color family,background-color:#AE8D6B;
1046,Westminster,N270-6,LRV 22,"['R 156', 'G 124', 'B 91']",Yellow color family,background-color:#9C7C5B;
1047,Library Oak,N270-7,LRV 19,"['R 143', 'G 116', 'B 89']",,background-color:#8F7459;
1048,Scroll,N280-1,LRV 76,"['R 239', 'G 224', 'B 203']",Neutral color family,background-color:#EFE0CB;
1049,Writer's Parchment,N280-2,LRV 69,"['R 233', 'G 214', 'B 189']",Neutral color family,background-color:#E9D6BD;
1050,Brass Button,N280-7,LRV 18,"['R 146', 'G 113', 'B 73']",Yellow color family,background-color:#927149;
1051,Original White,N290-1,LRV 79,"['R 240', 'G 229', 'B 211']",,background-color:#F0E5D3;
1052,Authentic Tan,N290-2,LRV 73,"['R 234', 'G 221', 'B 198']",,background-color:#EADDC6;
1053,Comfy Beige,N290-3,LRV 66,"['R 227', 'G 210', 'B 182']",,background-color:#E3D2B6;
1054,Curious Collection,N290-4,LRV 52,"['R 210', 'G 187', 'B 152']",,background-color:#D2BB98;
1056,Trinket Gold,N290-6,LRV 27,"['R 167', 'G 136', 'B 95']",Yellow color family,background-color:#A7885F;
1057,Sail Cloth,N300-1,LRV 78,"['R 236', 'G 229', 'B 215']",,background-color:#ECE5D7;
1059,Casual Khaki,N300-3,LRV 57,"['R 211', 'G 197', 'B 175']",Neutral color family,background-color:#D3C5AF;
1060,Open Canyon,N300-4,LRV 41,"['R 187', 'G 169', 'B 144']",Neutral color family,background-color:#BBA990;
1061,Archaeological Site,N300-6,LRV 20,"['R 142', 'G 120', 'B 92']",Neutral color family,background-color:#8E785C;
1062,Mayan Ruins,N300-7,LRV 15,"['R 125', 'G 105', 'B 80']",,background-color:#7D6950;
1063,Sand Drift,N310-1,LRV 75,"['R 229', 'G 224', 'B 211']",Neutral color family,background-color:#E5E0D3;
1064,Arid Landscape,N310-2,LRV 67,"['R 220', 'G 214', 'B 198']",Yellow color family,background-color:#DCD6C6;
1065,Sandstorm,N310-3,LRV 57,"['R 207', 'G 199', 'B 181']",Neutral color family,background-color:#CFC7B5;
1066,Desert Khaki,N310-4,LRV 42,"['R 183', 'G 172', 'B 151']",Neutral color family,background-color:#B7AC97;
1067,Weathered Fossil,N310-5,LRV 26,"['R 152', 'G 138', 'B 114']",Neutral color family,background-color:#988A72;
1068,Palm Desert,N310-6,LRV 19,"['R 133', 'G 119', 'B 95']",Neutral color family,background-color:#85775F;
1069,Classic Bronze,N310-7,LRV 12,"['R 109', 'G 98', 'B 78']",,background-color:#6D624E;
1070,Campfire Ash,N320-1,LRV 69,"['R 221', 'G 217', 'B 206']",Neutral color family,background-color:#DDD9CE;
1071,Toasty Gray,N320-2,LRV 61,"['R 209', 'G 204', 'B 192']",Neutral color family,background-color:#D1CCC0;
1072,Tanglewood,N320-3,LRV 51,"['R 196', 'G 189', 'B 176']",Neutral color family,background-color:#C4BDB0;
1073,Camping Tent,N320-4,LRV 43,"['R 182', 'G 175', 'B 160']",Neutral color family,background-color:#B6AFA0;
1074,Gray Squirrel,N320-5,LRV 28,"['R 152', 'G 144', 'B 129']",,background-color:#989081;
1075,Arrowhead,N320-6,LRV 18,"['R 125', 'G 115', 'B 99']",Neutral color family,background-color:#7D7363;
1076,Primitive,N320-7,LRV 11,"['R 104', 'G 94', 'B 78']",Neutral color family,background-color:#685E4E;
1077,Milk Paint,N330-1,LRV 81,"['R 236', 'G 232', 'B 220']",White color family,background-color:#ECE8DC;
1078,Prairie Dust,N330-2,LRV 68,"['R 221', 'G 215', 'B 198']",,background-color:#DDD7C6;
1079,Unmarked Trail,N330-3,LRV 59,"['R 210', 'G 202', 'B 183']",Neutral color family,background-color:#D2CAB7;
