,Name,mfg_num,lrv,rgb,category,hexcode
112,Bungalow Beige,HDC-AC-10,LRV 53,"['R 203', 'G 190', 'B 170']",,background-color:#CBBEAA;
114,Craft Brown,HDC-AC-12,LRV 37,"['R 183', 'G 160', 'B 131']",Neutral color family,background-color:#B7A083;
115,Butter Nut,HDC-AC-13,LRV 41,"['R 203', 'G 165', 'B 120']",Yellow color family,background-color:#CBA578;
116,Bristol Beige,HDC-AC-14,LRV 24,"['R 147', 'G 131', 'B 111']",Neutral color family,background-color:#93836F;
117,Peat,HDC-AC-15,LRV 13,"['R 110', 'G 99', 'B 76']",Neutral color family,background-color:#6E634C;
118,Cumin,HDC-AC-16,LRV 38,"['R 185', 'G 163', 'B 114']",Yellow color family,background-color:#B9A372;
119,Fern Grove,HDC-AC-16A,LRV 20,"['R 131', 'G 123', 'B 83']",Yellow color family,background-color:#837B53;
120,Meadowland,HDC-AC-17,LRV 19,"['R 128', 'G 122', 'B 85']",Green color family,background-color:#807A55;
121,Welded Iron,HDC-AC-17A,LRV 16,"['R 111', 'G 111', 'B 109']",Gray color family,background-color:#6F6F6D;
122,Garden Promenade,HDC-AC-18,LRV 39,"['R 164', 'G 169', 'B 155']",Gray color family,background-color:#A4A99B;
125,Grant Gray,HDC-AC-19,LRV 28,"['R 145', 'G 143', 'B 138']",Gray color family,background-color:#918F8A;
127,Halls Of Ivy,HDC-AC-20,LRV 18,"['R 116', 'G 119', 'B 103']",Gray color family,background-color:#747767;
128,Keystone Gray,HDC-AC-21,LRV 49,"['R 182', 'G 187', 'B 178']",Gray color family,background-color:#B6BBB2;
129,Cedar Forest,HDC-AC-22,LRV 21,"['R 120', 'G 128', 'B 120']",Gray color family,background-color:#788078;
130,Provence Blue,HDC-AC-23,LRV 32,"['R 138', 'G 156', 'B 153']",Blue color family,background-color:#8A9C99;
131,Cabana Blue,HDC-AC-23A,LRV 24,"['R 91', 'G 144', 'B 153']",,background-color:#5B9099;
132,Lyric Blue,HDC-AC-24,LRV 23,"['R 114', 'G 135', 'B 145']",Gray color family,background-color:#728791;
133,Blue Metal,HDC-AC-25,LRV 12,"['R 90', 'G 99', 'B 101']",Gray color family,background-color:#5A6365;
135,Sarsaparilla,HDC-AC-26,LRV 6,"['R 75', 'G 66', 'B 66']",,background-color:#4B4242;
136,Lilac Fields,HDC-AC-26A,LRV 29,"['R 143', 'G 147', 'B 157']",,background-color:#8F939D;
137,Heather Sachet,HDC-AC-27,LRV 17,"['R 123', 'G 113', 'B 115']",,background-color:#7B7173;
138,Smokey Claret,HDC-AC-28,LRV 18,"['R 136', 'G 113', 'B 109']",Neutral color family,background-color:#88716D;
139,Carnation Festival,HDC-AC-28A,LRV 14,"['R 145', 'G 88', 'B 112']",Red color family,background-color:#915870;
140,Timeless Ruby,HDC-CL-01,LRV 11,"['R 154', 'G 65', 'B 73']",Red color family,background-color:#9A4149;
141,Fine Burgundy,HDC-CL-02,LRV 11,"['R 129', 'G 81', 'B 88']",Red color family,background-color:#815158;
143,Grand Grape,HDC-CL-03,LRV 11,"['R 100', 'G 87', 'B 100']",Purple color family,background-color:#645764;
145,French Rose,HDC-CL-04,LRV 11,"['R 151', 'G 67', 'B 82']",,background-color:#974352;
146,Liberty Bell Gray,HDC-CL-04G,LRV 15,"['R 105', 'G 107', 'B 109']",Gray color family,background-color:#696B6D;
147,Orchard Plum,HDC-CL-05,LRV 25,"['R 154', 'G 133', 'B 140']",Neutral color family,background-color:#9A858C;
148,Nantucket Sands,HDC-CL-05G,LRV 40,"['R 180', 'G 168', 'B 154']",,background-color:#B4A89A;
149,Sovereign,HDC-CL-06,LRV 6,"['R 75', 'G 67', 'B 86']",,background-color:#4B4356;
150,Dark Berry,HDC-CL-07,LRV 7,"['R 92', 'G 70', 'B 74']",Neutral color family,background-color:#5C464A;
151,Sun Baked Earth,HDC-CL-08,LRV 18,"['R 163', 'G 102', 'B 88']",Orange color family,background-color:#A36658;
152,Persimmon Red,HDC-CL-09,LRV 14,"['R 167', 'G 78', 'B 74']",Red color family,background-color:#A74E4A;
153,Tapestry Red,HDC-CL-10,LRV 22,"['R 192', 'G 105', 'B 96']",Red color family,background-color:#C06960;
154,January Garnet,HDC-CL-11,LRV 8,"['R 123', 'G 65', 'B 65']",,background-color:#7B4141;
155,Terrace Brown,HDC-CL-12,LRV 10,"['R 115', 'G 84', 'B 77']",Neutral color family,background-color:#73544D;
156,Sassafras Tea,HDC-CL-13,LRV 13,"['R 124', 'G 97', 'B 75']",Neutral color family,background-color:#7C614B;
157,Library Leather,HDC-CL-13A,LRV 10,"['R 104', 'G 85', 'B 78']",Neutral color family,background-color:#68554E;
158,Pinecone Path,HDC-CL-14,LRV 7,"['R 87', 'G 71', 'B 69']",Orange color family,background-color:#574745;
159,Warm Onyx,HDC-CL-14A,LRV 7,"['R 76', 'G 72', 'B 69']",,background-color:#4C4845;
160,Burnished Caramel,HDC-CL-15,LRV 32,"['R 190', 'G 145', 'B 103']",Yellow color family,background-color:#BE9167;
161,Morning Parlor,HDC-CL-15G,LRV 50,"['R 172', 'G 192', 'B 189']",Gray color family,background-color:#ACC0BD;
162,Beacon Yellow,HDC-CL-16,LRV 63,"['R 242', 'G 201', 'B 138']",Orange color family,background-color:#F2C98A;
163,Cellini Gold,HDC-CL-18,LRV 50,"['R 221', 'G 181', 'B 130']",Yellow color family,background-color:#DDB582;
164,Butter Caramel,HDC-CL-18A,LRV 23,"['R 166', 'G 122', 'B 76']",Yellow color family,background-color:#A67A4C;
165,Apple Wine,HDC-CL-19,LRV 35,"['R 181', 'G 159', 'B 98']",Yellow color family,background-color:#B59F62;
166,Portsmouth Olive,HDC-CL-20,LRV 14,"['R 107', 'G 107', 'B 68']",,background-color:#6B6B44;
167,Sporting Green,HDC-CL-21,LRV 7,"['R 67', 'G 76', 'B 71']",Gray color family,background-color:#434C47;
168,Dark Everglade,HDC-CL-21A,LRV 8,"['R 62', 'G 85', 'B 79']",Blue color family,background-color:#3E554F;
169,Sophisticated Teal,HDC-CL-22,LRV 15,"['R 83', 'G 113', 'B 117']",Blue color family,background-color:#537175;
170,Roanoke Taupe,HDC-CL-22G,LRV 24,"['R 143', 'G 131', 'B 125']",Neutral color family,background-color:#8F837D;
171,Soothing Spring,HDC-CL-23,LRV 58,"['R 188', 'G 203', 'B 196']",,background-color:#BCCBC4;
173,Black Ribbon,HDC-CL-24,LRV 7,"['R 72', 'G 76', 'B 81']",Black color family,background-color:#484C51;
174,Equestrian Leather,HDC-CL-24G,LRV 9,"['R 91', 'G 86', 'B 82']",Neutral color family,background-color:#5B5652;
175,Oceanus,HDC-CL-25,LRV 38,"['R 144', 'G 171', 'B 168']",Blue color family,background-color:#90ABA8;
176,Georgian Pink,HDC-CL-25G,LRV 50,"['R 198', 'G 184', 'B 180']",Neutral color family,background-color:#C6B8B4;
177,Champlain Blue,HDC-CL-26,LRV 9,"['R 67', 'G 85', 'B 114']",Purple color family,background-color:#435572;
178,Indigo Ink,HDC-CL-26A,LRV 6,"['R 59', 'G 67', 'B 84']",Purple color family,background-color:#3B4354;
179,Calypso Blue,HDC-CL-27,LRV 17,"['R 52', 'G 125', 'B 139']",,background-color:#347D8B;
180,Rushmore Gray,HDC-CL-27G,LRV 44,"['R 183', 'G 178', 'B 166']",Gray color family,background-color:#B7B2A6;
181,Nocturne Blue,HDC-CL-28,LRV 7,"['R 52', 'G 77', 'B 88']",Blue color family,background-color:#344D58;
183,Amber Moon,HDC-CT-01,LRV 66,"['R 238', 'G 209', 'B 165']",Yellow color family,background-color:#EED1A5;
184,Candlewick,HDC-CT-03,LRV 79,"['R 247', 'G 228', 'B 191']",Yellow color family,background-color:#F7E4BF;
185,Pale Palomino,HDC-CT-05,LRV 72,"['R 229', 'G 219', 'B 202']",White color family,background-color:#E5DBCA;
186,Country Linens,HDC-CT-06,LRV 56,"['R 215', 'G 194', 'B 166']",White color family,background-color:#D7C2A6;
187,Country Cork,HDC-CT-07,LRV 39,"['R 184', 'G 165', 'B 132']",Neutral color family,background-color:#B8A584;
188,Vintage Tea Rose,HDC-CT-07A,LRV 47,"['R 203', 'G 176', 'B 168']",Red color family,background-color:#CBB0A8;
189,Pink Posey,HDC-CT-08,LRV 75,"['R 234', 'G 222', 'B 224']",Red color family,background-color:#EADEE0;
191,Bridal Bouquet,HDC-CT-09,LRV 58,"['R 235', 'G 189', 'B 184']",Red color family,background-color:#EBBDB8;
192,La Vie En Rose,HDC-CT-11,LRV 37,"['R 216', 'G 146', 'B 145']",Red color family,background-color:#D89291;
193,Apricotta,HDC-CT-13,LRV 43,"['R 216', 'G 164', 'B 143']",Orange color family,background-color:#D8A48F;
194,Coral Coast,HDC-CT-14,LRV 61,"['R 235', 'G 197', 'B 179']",Orange color family,background-color:#EBC5B3;
195,Sunkissed Apricot,HDC-CT-14A,LRV 58,"['R 242', 'G 189', 'B 168']",Orange color family,background-color:#F2BDA8;
196,Himalayan Poppy,HDC-CT-15A,LRV 56,"['R 190', 'G 198', 'B 214']",Purple color family,background-color:#BEC6D6;
197,Billowing Clouds,HDC-CT-16,LRV 70,"['R 214', 'G 219', 'B 220']",Gray color family,background-color:#D6DBDC;
198,English Hollyhock,HDC-CT-16A,LRV 56,"['R 181', 'G 201', 'B 211']",Purple color family,background-color:#B5C9D3;
199,Waterfall,HDC-CT-16B,LRV 72,"['R 207', 'G 223', 'B 226']",Blue color family,background-color:#CFDFE2;
200,Pale Starlet,HDC-CT-17,LRV 74,"['R 228', 'G 222', 'B 216']",White color family,background-color:#E4DED8;
202,Violet Vista,HDC-CT-18,LRV 36,"['R 176', 'G 159', 'B 158']",Neutral color family,background-color:#B09F9E;
205,Windrush,HDC-CT-19,LRV 66,"['R 219', 'G 211', 'B 198']",Neutral color family,background-color:#DBD3C6;
206,Greywood,HDC-CT-20,LRV 30,"['R 157', 'G 149', 'B 134']",Neutral color family,background-color:#9D9586;
207,Grey Mist,HDC-CT-21,LRV 47,"['R 189', 'G 182', 'B 171']",Neutral color family,background-color:#BDB6AB;
208,Aged Jade,HDC-CT-22,LRV 41,"['R 157', 'G 175', 'B 166']",Blue color family,background-color:#9DAFA6;
209,Wind Fresh White,HDC-CT-23,LRV 67,"['R 208', 'G 216', 'B 207']",White color family,background-color:#D0D8CF;
210,Rainy Sidewalk,HDC-CT-24,LRV 41,"['R 155', 'G 175', 'B 187']",Purple color family,background-color:#9BAFBB;
211,Bayberry Frost,HDC-CT-25,LRV 67,"['R 208', 'G 217', 'B 199']",,background-color:#D0D9C7;
213,Seaglass,HDC-CT-26A,LRV 75,"['R 208', 'G 230', 'B 222']",,background-color:#D0E6DE;
214,Swiss Cream,HDC-CT-27,LRV 82,"['R 236', 'G 234', 'B 217']",White color family,background-color:#ECEAD9;
215,Fresh Willow,HDC-CT-27A,LRV 69,"['R 225', 'G 217', 'B 170']",Yellow color family,background-color:#E1D9AA;
216,Cottage Hill,HDC-CT-28,LRV 43,"['R 172', 'G 179', 'B 151']",,background-color:#ACB397;
219,Glowing Scarlet,HDC-FL13-1,LRV 16,"['R 189', 'G 70', 'B 73']",Red color family,background-color:#BD4649;
220,Wilderness Gray,HDC-FL13-10,LRV 49,"['R 194', 'G 186', 'B 168']",,background-color:#C2BAA8;
221,Hunt Club Brown,HDC-FL13-11,LRV 23,"['R 147', 'G 131', 'B 112']",,background-color:#938370;
222,Taos Turquoise,HDC-FL13-12,LRV 21,"['R 43', 'G 140', 'B 138']",,background-color:#2B8C8A;
224,Warm Cider,HDC-FL13-3,LRV 22,"['R 191', 'G 106', 'B 82']",,background-color:#BF6A52;
225,Pumpkin Mousse,HDC-FL13-4,LRV 61,"['R 242', 'G 195', 'B 167']",,background-color:#F2C3A7;
228,Tangy Dill,HDC-FL13-8,LRV 28,"['R 154', 'G 145', 'B 71']",Yellow color family,background-color:#9A9147;
229,Squirrel's Nest,HDC-FL13-9,LRV 11,"['R 102', 'G 94', 'B 72']",,background-color:#665E48;
230,Pine Cone Brown,HDC-FL14-10,LRV 10,"['R 103', 'G 88', 'B 80']",,background-color:#675850;
232,Rain Boots,HDC-FL14-12,LRV 7,"['R 53', 'G 77', 'B 101']",Purple color family,background-color:#354D65;
233,November,HDC-FL14-2,LRV 25,"['R 190', 'G 119', 'B 103']",,background-color:#BE7767;
234,Fall Foliage,HDC-FL14-3,LRV 19,"['R 189', 'G 91', 'B 64']",Orange color family,background-color:#BD5B40;
235,Gilded Leaves,HDC-FL14-5,LRV 43,"['R 235', 'G 161', 'B 60']",,background-color:#EBA13C;
236,Gingerbread Latte,HDC-FL14-6,LRV 32,"['R 179', 'G 148', 'B 121']",Orange color family,background-color:#B39479;
237,Asian Pear,HDC-FL14-7,LRV 30,"['R 174', 'G 145', 'B 86']",,background-color:#AE9156;
238,Deer Trail,HDC-FL14-8,LRV 12,"['R 106', 'G 99', 'B 76']",,background-color:#6A634C;
239,Black Raspberry,HDC-FL14-9,LRV 7,"['R 85', 'G 68', 'B 71']",Neutral color family,background-color:#554447;
241,Cranberry Jam,HDC-FL15-02,LRV 14,"['R 163', 'G 79', 'B 85']",Red color family,background-color:#A34F55;
242,Blue Sage,HDC-FL15-03,LRV 16,"['R 87', 'G 116', 'B 122']",Blue color family,background-color:#57747A;
243,Cinnamon Crumble,HDC-FL15-04,LRV 11,"['R 112', 'G 87', 'B 66']",,background-color:#705742;
244,Warm Pumpernickel,HDC-FL15-05,LRV 8,"['R 92', 'G 78', 'B 68']",Neutral color family,background-color:#5C4E44;
245,Majestic Blue,HDC-MD-01,LRV 6,"['R 63', 'G 66', 'B 92']",Purple color family,background-color:#3F425C;
246,Lapis Lazuli,HDC-MD-02,LRV 26,"['R 107', 'G 143', 'B 191']",Purple color family,background-color:#6B8FBF;
247,Yellow Groove,HDC-MD-02A,LRV 55,"['R 247', 'G 185', 'B 48']",Yellow color family,background-color:#F7B930;
248,Citronette,HDC-MD-03,LRV 40,"['R 196', 'G 170', 'B 39']",Yellow color family,background-color:#C4AA27;
250,Desert Coral,HDC-MD-05,LRV 23,"['R 209', 'G 100', 'B 89']",Red color family,background-color:#D16459;
251,Sparkling Silver,HDC-MD-06G,LRV 62,"['R 203', 'G 208', 'B 205']",Gray color family,background-color:#CBD0CD;
252,Island Oasis,HDC-MD-09,LRV 57,"['R 132', 'G 213', 'B 202']",,background-color:#84D5CA;
253,Blooming Lilac,HDC-MD-10,LRV 34,"['R 186', 'G 147', 'B 175']",Red color family,background-color:#BA93AF;
254,Exclusive Ivory,HDC-MD-11,LRV 80,"['R 238', 'G 230', 'B 216']",Neutral color family,background-color:#EEE6D8;
255,Tiramisu Cream,HDC-MD-12,LRV 53,"['R 211', 'G 189', 'B 164']",,background-color:#D3BDA4;
256,Rave Raisin,HDC-MD-13,LRV 7,"['R 84', 'G 70', 'B 63']",Neutral color family,background-color:#54463F;
257,Sky Watch,HDC-MD-14,LRV 55,"['R 138', 'G 207', 'B 214']",Blue color family,background-color:#8ACFD6;
258,Zesty Apple,HDC-MD-15,LRV 33,"['R 146', 'G 163', 'B 96']",Green color family,background-color:#92A360;
259,Cherry Red,HDC-MD-16,LRV 16,"['R 184', 'G 79', 'B 71']",Red color family,background-color:#B84F47;
260,Minimum Beige,HDC-MD-17,LRV 67,"['R 232', 'G 211', 'B 186']",Yellow color family,background-color:#E8D3BA;
261,Banana Leaf,HDC-MD-20,LRV 27,"['R 157', 'G 143', 'B 58']",Yellow color family,background-color:#9D8F3A;
263,Dove,HDC-MD-21,LRV 66,"['R 217', 'G 212', 'B 203']",Neutral color family,background-color:#D9D4CB;
264,Tropical Sea,HDC-MD-22,LRV 29,"['R 3', 'G 165', 'B 152']",Blue color family,background-color:#03A598;
265,Luscious Lemon,HDC-MD-24,LRV 56,"['R 238', 'G 189', 'B 106']",Yellow color family,background-color:#EEBD6A;
266,Virtual Violet,HDC-MD-25,LRV 11,"['R 102', 'G 83', 'B 127']",Purple color family,background-color:#66537F;
268,Cordite,HDC-MD-28,LRV 13,"['R 97', 'G 102', 'B 101']",Gray color family,background-color:#616665;
269,Woodland Sage,HDC-NT-01,LRV 36,"['R 164', 'G 163', 'B 147']",Gray color family,background-color:#A4A393;
270,White Oak,HDC-NT-02,LRV 56,"['R 214', 'G 196', 'B 154']",Yellow color family,background-color:#D6C49A;
271,Chenille Spread,HDC-NT-03,LRV 81,"['R 241', 'G 231', 'B 214']",White color family,background-color:#F1E7D6;
272,Crème De Caramel,HDC-NT-04,LRV 48,"['R 212', 'G 179', 'B 143']",Yellow color family,background-color:#D4B38F;
273,Clay,HDC-NT-04A,LRV 31,"['R 164', 'G 149', 'B 136']",Neutral color family,background-color:#A49588;
274,Aged Olive,HDC-NT-05,LRV 18,"['R 126', 'G 118', 'B 102']",Neutral color family,background-color:#7E7666;
275,Patchwork Pink,HDC-NT-06,LRV 42,"['R 196', 'G 168', 'B 158']",Neutral color family,background-color:#C4A89E;
276,Glasgow Fog,HDC-NT-06G,LRV 48,"['R 189', 'G 184', 'B 174']",Gray color family,background-color:#BDB8AE;
277,Hickory Branch,HDC-NT-07,LRV 25,"['R 165', 'G 131', 'B 118']",Neutral color family,background-color:#A58376;
278,Papier Blanc,HDC-NT-08,LRV 83,"['R 239', 'G 234', 'B 220']",White color family,background-color:#EFEADC;
279,Basic Khaki,HDC-NT-09,LRV 48,"['R 195', 'G 182', 'B 159']",Neutral color family,background-color:#C3B69F;
280,Stingray Gray,HDC-NT-09G,LRV 41,"['R 176', 'G 171', 'B 163']",Gray color family,background-color:#B0ABA3;
281,Victorian Cameo,HDC-NT-10,LRV 62,"['R 224', 'G 202', 'B 192']",Neutral color family,background-color:#E0CAC0;
282,Dolphin Gray,HDC-NT-10A,LRV 32,"['R 154', 'G 153', 'B 151']",,background-color:#9A9997;
283,Sandalwood Tan,HDC-NT-11,LRV 22,"['R 144', 'G 127', 'B 104']",Neutral color family,background-color:#907F68;
284,Warm Marshmallow,HDC-NT-11A,LRV 80,"['R 242', 'G 230', 'B 207']",Yellow color family,background-color:#F2E6CF;
285,Curly Willow,HDC-NT-12,LRV 37,"['R 177', 'G 163', 'B 135']",Neutral color family,background-color:#B1A387;
287,Merino Wool,HDC-NT-13,LRV 55,"['R 207', 'G 193', 'B 174']",Neutral color family,background-color:#CFC1AE;
288,Smoked Tan,HDC-NT-14,LRV 38,"['R 174', 'G 164', 'B 148']",Neutral color family,background-color:#AEA494;
289,Rococo Beige,HDC-NT-15,LRV 67,"['R 223', 'G 214', 'B 193']",White color family,background-color:#DFD6C1;
290,Natural Chamois,HDC-NT-16,LRV 40,"['R 187', 'G 168', 'B 139']",Neutral color family,background-color:#BBA88B;
291,Aspen Branch,HDC-NT-16G,LRV 51,"['R 198', 'G 188', 'B 173']",Neutral color family,background-color:#C6BCAD;
292,New Cream,HDC-NT-17,LRV 75,"['R 237', 'G 224', 'B 192']",Yellow color family,background-color:#EDE0C0;
293,Polar Fox,HDC-NT-17G,LRV 63,"['R 210', 'G 208', 'B 201']",,background-color:#D2D0C9;
294,Yuma Sand,HDC-NT-18,LRV 56,"['R 207', 'G 197', 'B 174']",Neutral color family,background-color:#CFC5AE;
295,Frosted Cocoa,HDC-NT-18G,LRV 34,"['R 168', 'G 156', 'B 145']",Neutral color family,background-color:#A89C91;
296,Lavender Suede,HDC-NT-19,LRV 39,"['R 180', 'G 165', 'B 160']",Neutral color family,background-color:#B4A5A0;
297,Cotton Grey,HDC-NT-20,LRV 61,"['R 209', 'G 204', 'B 195']",,background-color:#D1CCC3;
298,Montauk Sands,HDC-NT-20G,LRV 43,"['R 187', 'G 173', 'B 158']",Neutral color family,background-color:#BBAD9E;
299,Weathered White,HDC-NT-21,LRV 77,"['R 230', 'G 227', 'B 217']",,background-color:#E6E3D9;
300,Nomadic,HDC-NT-22,LRV 32,"['R 175', 'G 148', 'B 121']",Neutral color family,background-color:#AF9479;
302,Alaskan Gray,HDC-NT-23G,LRV 51,"['R 188', 'G 190', 'B 188']",Gray color family,background-color:#BCBEBC;
303,Glacier Valley,HDC-NT-24,LRV 76,"['R 226', 'G 227', 'B 215']",White color family,background-color:#E2E3D7;
304,Dew,HDC-NT-25,LRV 49,"['R 176', 'G 189', 'B 183']",,background-color:#B0BDB7;
305,Muscatel,HDC-NT-26,LRV 16,"['R 123', 'G 106', 'B 104']",Neutral color family,background-color:#7B6A68;
306,Millennium Silver,HDC-NT-27,LRV 29,"['R 140', 'G 149', 'B 149']",,background-color:#8C9595;
307,Soft Pebble,HDC-NT-27A,LRV 42,"['R 174', 'G 173', 'B 172']",,background-color:#AEADAC;
308,Wild Truffle,HDC-NT-27B,LRV 22,"['R 139', 'G 127', 'B 118']",,background-color:#8B7F76;
309,Soft Bronze,HDC-NT-28,LRV 26,"['R 161', 'G 134', 'B 102']",Neutral color family,background-color:#A18666;
310,Fuschia Flair,HDC-SM14-1,LRV 13,"['R 164', 'G 71', 'B 105']",Red color family,background-color:#A44769;
311,Intrigue Red,HDC-SM14-10,LRV 14,"['R 178', 'G 70', 'B 72']",,background-color:#B24648;
312,Cosmic Coral,HDC-SM14-12,LRV 33,"['R 231', 'G 126', 'B 108']",Orange color family,background-color:#E77E6C;
313,Green Suede,HDC-SM14-2,LRV 22,"['R 115', 'G 136', 'B 77']",,background-color:#73884D;
314,Concept Beige,HDC-SM14-3,LRV 53,"['R 213', 'G 189', 'B 163']",Orange color family,background-color:#D5BDA3;
315,Tan Bark Trail,HDC-SM14-4,LRV 14,"['R 118', 'G 100', 'B 81']",,background-color:#766451;
316,Lavish Lime,HDC-SM14-5,LRV 49,"['R 176', 'G 193', 'B 117']",Green color family,background-color:#B0C175;
317,Thermal Aqua,HDC-SM14-6,LRV 55,"['R 156', 'G 206', 'B 190']",Blue color family,background-color:#9CCEBE;
318,Midnight Mosaic,HDC-SM14-7,LRV 8,"['R 61', 'G 82', 'B 103']",Purple color family,background-color:#3D5267;
319,Floating Blue,HDC-SM14-8,LRV 55,"['R 176', 'G 201', 'B 205']",,background-color:#B0C9CD;
320,Thin Mint,HDC-SM14-9,LRV 66,"['R 214', 'G 213', 'B 188']",Green color family,background-color:#D6D5BC;
321,Dried Coconut,HDC-SM16-01,LRV 80,"['R 235', 'G 231', 'B 217']",Yellow color family,background-color:#EBE7D9;
322,Grey River Rock,HDC-SM16-02,LRV 35,"['R 153', 'G 161', 'B 161']",Gray color family,background-color:#99A1A1;
323,Blackberry Cobbler,HDC-SM16-08,LRV 7,"['R 64', 'G 77', 'B 106']",Purple color family,background-color:#404D6A;
324,Sail Grey,HDC-SM16-09,LRV 50,"['R 202', 'G 186', 'B 164']",Neutral color family,background-color:#CABAA4;
325,Pepperoncini,HDC-SM16-10,LRV 55,"['R 216', 'G 197', 'B 83']",Green color family,background-color:#D8C553;
326,Hot Dog Relish,HDC-SM16-11,LRV 18,"['R 113', 'G 124', 'B 62']",Green color family,background-color:#717C3E;
327,Secret Glade,HDC-SP14-1,LRV 46,"['R 181', 'G 184', 'B 141']",Green color family,background-color:#B5B88D;
328,Blue Tribute,HDC-SP14-10,LRV 47,"['R 169', 'G 184', 'B 200']",Purple color family,background-color:#A9B8C8;
329,Rouge Charm,HDC-SP14-11,LRV 11,"['R 129', 'G 77', 'B 84']",Red color family,background-color:#814D54;
330,Exclusive Violet,HDC-SP14-12,LRV 44,"['R 185', 'G 173', 'B 187']",,background-color:#B9ADBB;
331,Exotic Palm,HDC-SP14-2,LRV 30,"['R 144', 'G 153', 'B 105']",Green color family,background-color:#909969;
332,Faint Peach,HDC-SP14-3,LRV 75,"['R 245', 'G 221', 'B 197']",Orange color family,background-color:#F5DDC5;
333,Heirloom Apricot,HDC-SP14-4,LRV 59,"['R 244', 'G 190', 'B 166']",Orange color family,background-color:#F4BEA6;
334,Mocha Tan,HDC-SP14-5,LRV 32,"['R 172', 'G 150', 'B 128']",Neutral color family,background-color:#AC9680;
335,Tilled Earth,HDC-SP14-6,LRV 14,"['R 128', 'G 98', 'B 78']",Neutral color family,background-color:#80624E;
336,Art House Pink,HDC-SP14-8,LRV 24,"['R 192', 'G 111', 'B 112']",Red color family,background-color:#C06F70;
337,Decorative Iris,HDC-SP14-9,LRV 18,"['R 129', 'G 113', 'B 129']",Gray color family,background-color:#817181;
338,Chiffon,HDC-SP16-01,LRV 73,"['R 234', 'G 220', 'B 203']",Orange color family,background-color:#EADCCB;
339,Pistachio Shortbread,HDC-SP16-02,LRV 49,"['R 199', 'G 187', 'B 115']",Green color family,background-color:#C7BB73;
340,Apricot Jam,HDC-SP16-04,LRV 47,"['R 238', 'G 167', 'B 113']",Orange color family,background-color:#EEA771;
341,Isabellas Aqua,HDC-SP16-07,LRV 60,"['R 155', 'G 216', 'B 196']",Blue color family,background-color:#9BD8C4;
342,Blue Bell,HDC-SP16-08,LRV 52,"['R 160', 'G 199', 'B 198']",Blue color family,background-color:#A0C7C6;
343,Dahlia,HDC-SP16-09,LRV 52,"['R 228', 'G 181', 'B 173']",Red color family,background-color:#E4B5AD;
344,Japanese Rose Garden,HDC-SP16-10,LRV 54,"['R 228', 'G 182', 'B 196']",Red color family,background-color:#E4B6C4;
345,Cactus Flower,HDC-SP16-11,LRV 26,"['R 178', 'G 122', 'B 162']",Red color family,background-color:#B27AA2;
346,Cranberry Tart,HDC-WR14-11,LRV 9,"['R 137', 'G 62', 'B 64']",Red color family,background-color:#893E40;
347,Winter Haze,HDC-WR14-2,LRV 59,"['R 206', 'G 201', 'B 193']",,background-color:#CEC9C1;
349,Winter Coat,HDC-WR14-4,LRV 7,"['R 69', 'G 73', 'B 76']",Black color family,background-color:#45494C;
350,Spearmint Frosting,HDC-WR14-8,LRV 47,"['R 141', 'G 194', 'B 168']",Blue color family,background-color:#8DC2A8;
351,Green Garlands,HDC-WR14-9,LRV 17,"['R 0', 'G 129', 'B 118']",Blue color family,background-color:#008176;
352,Zero Degrees,HDC-WR15-1,LRV 69,"['R 221', 'G 217', 'B 196']",Yellow color family,background-color:#DDD9C4;
353,Green Bean Casserole,HDC-WR15-10,LRV 37,"['R 176', 'G 163', 'B 110']",Yellow color family,background-color:#B0A36E;
354,Deep Emerald,HDC-WR15-11,LRV 12,"['R 85', 'G 101', 'B 81']",Green color family,background-color:#556551;
355,New Sled,HDC-WR15-12,LRV 10,"['R 147', 'G 60', 'B 60']",Red color family,background-color:#933C3C;
356,Passion Plum,HDC-WR15-2,LRV 17,"['R 156', 'G 95', 'B 119']",Red color family,background-color:#9C5F77;
357,Noble Gray,HDC-WR15-3,LRV 52,"['R 193', 'G 190', 'B 185']",Neutral color family,background-color:#C1BEB9;
358,Lump Of Coal,HDC-WR15-4,LRV 8,"['R 78', 'G 81', 'B 84']",Black color family,background-color:#4E5154;
359,Winter Evening,HDC-WR15-6,LRV 12,"['R 71', 'G 100', 'B 118']",Purple color family,background-color:#476476;
360,Preserved Petals,HDC-WR15-7,LRV 19,"['R 176', 'G 101', 'B 90']",Red color family,background-color:#B0655A;
361,Steamed Milk,HDC-WR15-8,LRV 71,"['R 234', 'G 216', 'B 190']",Neutral color family,background-color:#EAD8BE;
362,Aqua Revival,HDC-WR15-9,LRV 29,"['R 83', 'G 159', 'B 145']",Blue color family,background-color:#539F91;
363,Rosy Copper,HDC-WR16-02,LRV 32,"['R 207', 'G 137', 'B 116']",,background-color:#CF8974;
364,Blueberry Tart,HDC-WR16-03,LRV 5,"['R 63', 'G 64', 'B 80']",Purple color family,background-color:#3F4050;
365,Noble Fir,HDC-WR16-04,LRV 16,"['R 90', 'G 115', 'B 109']",Blue color family,background-color:#5A736D;
366,Evergreen Field,HDC-WR16-05,LRV 8,"['R 71', 'G 83', 'B 79']",Gray color family,background-color:#47534F;
367,Seedless Grape,M100-2,LRV 58,"['R 211', 'G 195', 'B 212']",Red color family,background-color:#D3C3D4;
