,id,name,category,collection,hex,lrv,link
48,7002-5,Statuesque,White,,#f1ecde,83.953,valspar.com//en/colors/browse-colors/lowes/white/statuesque-7002-5
49,7002-19,Night Light,White,,#f9ead6,83.831,valspar.com//en/colors/browse-colors/lowes/white/night-light-7002-19
50,7003-16,Polar White,White,,#f0ecdf,83.744,valspar.com//en/colors/browse-colors/lowes/white/polar-white-7003-16
51,V054-1,Dear Melissa,Yellow,,#feebb3,83.729,valspar.com//en/colors/browse-colors/independent-retailers/yellow/dear-melissa-v054-1
52,3002-2C,Creamy Oat,Yellow,,#ffe9be,83.604,valspar.com//en/colors/browse-colors/lowes/yellow/creamy-oat-3002-2c
53,V160,Snowflake,White,Popular,#e7edea,83.593,valspar.com//en/colors/browse-colors/independent-retailers/white/snowflake-v160
54,V149,Bridal Wreath,White,Popular,#eaecea,83.513,valspar.com//en/colors/browse-colors/independent-retailers/white/bridal-wreath-v149
55,7004-11,Blue Kiss,White,,#eaecea,83.452,valspar.com//en/colors/browse-colors/lowes/white/blue-kiss-7004-11
56,7004-5,Fluffy Slippers,White,,#e4eded,83.398,valspar.com//en/colors/browse-colors/lowes/white/fluffy-slippers-7004-5
57,4001-9A,Lavender Moon,Red,,#f6e8ec,83.393,valspar.com//en/colors/browse-colors/lowes/red/lavender-moon-4001-9a
58,V017-1,Swallowtail,Yellow,Popular,#ffeaaa,83.248,valspar.com//en/colors/browse-colors/independent-retailers/yellow/swallowtail-v017-1
59,5004-9A,Icy Blue,Blue,,#d7f1ed,83.226,valspar.com//en/colors/browse-colors/lowes/blue/icy-blue-5004-9a
60,3008-4B,Lemon Butter,Yellow,,#fdeab3,83.208,valspar.com//en/colors/browse-colors/lowes/yellow/lemon-butter-3008-4b
61,7006-10,Cool Gray,White,Popular,#ebece6,83.206,valspar.com//en/colors/browse-colors/lowes/white/cool-gray-7006-10
62,V015-1,Popcorn,Yellow,Popular,#ffe8bf,83.063,valspar.com//en/colors/browse-colors/independent-retailers/yellow/popcorn-v015-1
63,8003-28A,Crème de Menthe,Green,,#eeecd9,83.0,valspar.com//en/colors/browse-colors/lowes/green/creme-de-menthe-8003-28a
64,8001-25B,East of the Sun,Green,,#f9ec9f,83.0,valspar.com//en/colors/browse-colors/lowes/green/east-of-the-sun-8001-25b
65,8007-6G,Freshwater Pearls,White,,#ecebe8,83.0,valspar.com//en/colors/browse-colors/lowes/white/freshwater-pearls-8007-6g
66,8007-11C,Apricot Whisper,White,,#fbe8d0,83.0,valspar.com//en/colors/browse-colors/lowes/white/apricot-whisper-8007-11c
67,V019-1,Sherman's Key Lime,Green,,#f9ebaf,82.914,valspar.com//en/colors/browse-colors/independent-retailers/green/shermans-key-lime-v019-1
68,6006-7A,Whipped Mint,Green,,#ededcd,82.821,valspar.com//en/colors/browse-colors/lowes/green/whipped-mint-6006-7a
69,7004-3,Lilac Muse,White,,#ebebe8,82.656,valspar.com//en/colors/browse-colors/lowes/white/lilac-muse-7004-3
70,T549,Sundrop,Neutral,The Classic Collection,#fbe8c8,82.472,valspar.com//en/colors/browse-colors/independent-retailers/neutral/sundrop-t549
71,7006-22,Paramount White,White,,#eceae1,82.366,valspar.com//en/colors/browse-colors/lowes/white/paramount-white-7006-22
72,4005-7A,Moonbeam,White,,#e3ecf0,82.345,valspar.com//en/colors/browse-colors/lowes/white/moonbeam-4005-7a
73,3005-4B,Cuddle,Yellow,,#fde9b7,82.342,valspar.com//en/colors/browse-colors/lowes/yellow/cuddle-3005-4b
74,6005-9A,Green Mist,Green,,#e4edd5,82.146,valspar.com//en/colors/browse-colors/lowes/green/green-mist-6005-9a
75,V158,Pearly Gates,White,,#eceae4,82.1,valspar.com//en/colors/browse-colors/independent-retailers/white/pearly-gates-v158
76,7002-17,Abalone Pink,White,,#f9e7d7,82.071,valspar.com//en/colors/browse-colors/lowes/white/abalone-pink-7002-17
77,P077,Innocent Pink,Red,The Classic Collection,#f5e7e5,82.063,valspar.com//en/colors/browse-colors/independent-retailers/red/innocent-pink-p077
78,8003-25A,Grow,Green,,#f1e8d7,82.0,valspar.com//en/colors/browse-colors/lowes/green/grow-8003-25a
79,8007-4B,Thousand Shells,White,,#ebeae4,82.0,valspar.com//en/colors/browse-colors/lowes/white/thousand-shells-8007-4b
80,8007-3G,Visionary,White,,#ddedee,82.0,valspar.com//en/colors/browse-colors/lowes/white/visionary-8007-3g
81,7007-12,Shell White,White,,#eee9de,82.0,valspar.com//en/colors/browse-colors/lowes/white/shell-white-7007-12
82,6004-7A,Mint Mist,Green,,#e5edd3,81.99,valspar.com//en/colors/browse-colors/lowes/green/mint-mist-6004-7a
83,3001-6C,Natural Sheepskin,Orange,,#fce7ca,81.951,valspar.com//en/colors/browse-colors/lowes/orange/natural-sheepskin-3001-6c
84,3003-4C,Coconut Scent,Yellow,,#fee6c0,81.746,valspar.com//en/colors/browse-colors/lowes/yellow/coconut-scent-3003-4c
85,T551,Party Ice,White,The Classic Collection,#ebe9e4,81.743,valspar.com//en/colors/browse-colors/independent-retailers/white/party-ice-t551
86,M321,Lemon Meringue,Neutral,The Soft Collection,#f3e8d3,81.699,valspar.com//en/colors/browse-colors/independent-retailers/neutral/lemon-meringue-m321
87,2007-4C,Orange Sparkle,Orange,,#fbe6d0,81.59,valspar.com//en/colors/browse-colors/lowes/orange/orange-sparkle-2007-4c
88,7005-4,Acropolis,Green,,#e5ebe0,81.5,valspar.com//en/colors/browse-colors/lowes/green/acropolis-7005-4
