,id,name,category,collection,hex,lrv,link
652,T525,Library Card,Neutral,The Classic Collection,#ebceb3,65.221,valspar.com//en/colors/browse-colors/independent-retailers/neutral/library-card-t525
653,M138,So Close,Neutral,The Natural Collection,#e4d1ac,65.039,valspar.com//en/colors/browse-colors/independent-retailers/neutral/so-close-m138
654,5002-1A,Winter in Paris,Gray,,#ced5ce,65.005,valspar.com//en/colors/browse-colors/lowes/gray/winter-in-paris-5002-1a
655,8001-48B,Will o' the Wisp,Purple,,#d6d0e8,65.0,valspar.com//en/colors/browse-colors/lowes/purple/will-o-the-wisp-8001-48b
656,8001-9B,Cat Nose,Red,,#f0cacd,65.0,valspar.com//en/colors/browse-colors/lowes/red/cat-nose-8001-9b
657,8003-23B,Consommé,Yellow,,#e5d1b0,65.0,valspar.com//en/colors/browse-colors/lowes/yellow/consomme-8003-23b
658,8003-34B,Opal Fire,Green,,#ccd6cd,65.0,valspar.com//en/colors/browse-colors/lowes/green/opal-fire-8003-34b
659,8001-40B,Laissez-Faire,Blue,,#b2dae9,65.0,valspar.com//en/colors/browse-colors/lowes/blue/laissez-faire-8001-40b
660,8006-2B,Goose Feathers,Gray,The Soft Collection,#d6d2ca,65.0,valspar.com//en/colors/browse-colors/lowes/gray/goose-feathers-8006-2b
661,T536,Baguette,Neutral,The Classic Collection,#e6cfb6,64.971,valspar.com//en/colors/browse-colors/independent-retailers/neutral/baguette-t536
662,V018-2,Hive Delight,Yellow,,#f3cf63,64.936,valspar.com//en/colors/browse-colors/independent-retailers/yellow/hive-delight-v018-2
663,4004-1A,Tempered Gray,Gray,Popular,#d5d3cc,64.929,valspar.com//en/colors/browse-colors/lowes/gray/tempered-gray-4004-1a
664,T538,Oberon on the Beach,Neutral,The Classic Collection,#eccea7,64.926,valspar.com//en/colors/browse-colors/independent-retailers/neutral/oberon-on-the-beach-t538
665,V134-1,Vanderbilt Beach,Neutral,,#ddd1bd,64.86,valspar.com//en/colors/browse-colors/independent-retailers/neutral/vanderbilt-beach-v134-1
666,5003-5A,Aquatic Edge,Blue,,#c2d7d3,64.843,valspar.com//en/colors/browse-colors/lowes/blue/aquatic-edge-5003-5a
667,2006-4B,Peach Encounter,Orange,,#fec7a5,64.83,valspar.com//en/colors/browse-colors/lowes/orange/peach-encounter-2006-4b
668,6006-1A,Warm Putty,Neutral,,#dad2c5,64.797,valspar.com//en/colors/browse-colors/lowes/neutral/warm-putty-6006-1a
669,7004-21,Morning Lake,White,,#d1d3d1,64.794,valspar.com//en/colors/browse-colors/lowes/white/morning-lake-7004-21
670,1006-10C,Tender Shell,Red,,#e2cfc7,64.789,valspar.com//en/colors/browse-colors/lowes/red/tender-shell-1006-10c
671,V091-1,Pure Almond,Neutral,,#e3d0b0,64.637,valspar.com//en/colors/browse-colors/independent-retailers/neutral/pure-almond-v091-1
672,V085-2,Cinnamon Foam,Neutral,,#f0ccac,64.614,valspar.com//en/colors/browse-colors/independent-retailers/neutral/cinnamon-foam-v085-2
673,M109,Luscious Latte,Neutral,The Natural Collection,#dfd1b6,64.488,valspar.com//en/colors/browse-colors/independent-retailers/neutral/luscious-latte-m109
674,5002-3A,Distant Valley,Blue,,#c7d6cd,64.486,valspar.com//en/colors/browse-colors/lowes/blue/distant-valley-5002-3a
675,4007-1A,Pelican,Gray,,#ced3d2,64.425,valspar.com//en/colors/browse-colors/lowes/gray/pelican-4007-1a
676,4002-9B,Whipped Plum,Purple,,#dacee2,64.405,valspar.com//en/colors/browse-colors/lowes/purple/whipped-plum-4002-9b
677,T557,Palest Satin,Neutral,The Classic Collection,#ded0bc,64.36,valspar.com//en/colors/browse-colors/independent-retailers/neutral/palest-satin-t557
678,T540,Light Bamboo,Neutral,The Classic Collection,#e0d0b0,64.334,valspar.com//en/colors/browse-colors/independent-retailers/neutral/light-bamboo-t540
679,V087-2,Group Hug,Neutral,,#e7cdb7,64.296,valspar.com//en/colors/browse-colors/independent-retailers/neutral/group-hug-v087-2
680,5002-9B,Misty,Blue,,#aed9e7,64.276,valspar.com//en/colors/browse-colors/lowes/blue/misty-5002-9b
681,V095-1,Asian Silk,Green,,#dad2b5,64.267,valspar.com//en/colors/browse-colors/independent-retailers/green/asian-silk-v095-1
682,6001-1A,Tea Stain,Green,,#d5d2c4,64.225,valspar.com//en/colors/browse-colors/lowes/green/tea-stain-6001-1a
683,2003-6C,Pale Satin Peach,Red,,#f2c9ba,64.208,valspar.com//en/colors/browse-colors/lowes/red/pale-satin-peach-2003-6c
684,3003-6B,Pumpkin Pie Oh My!,Yellow,,#efcca1,64.208,valspar.com//en/colors/browse-colors/lowes/yellow/pumpkin-pie-oh-my-3003-6b
685,2001-8C,Harmony,Red,,#ebcbc1,64.153,valspar.com//en/colors/browse-colors/lowes/red/harmony-2001-8c
686,V090-2,Touch of Tan,Neutral,,#e4ceb1,64.09,valspar.com//en/colors/browse-colors/independent-retailers/neutral/touch-of-tan-v090-2
687,T648,Half Moon,Green,The Classic Collection,#d2d3c2,64.068,valspar.com//en/colors/browse-colors/independent-retailers/green/half-moon-t648
688,8003-48A,Daybreak Beckons,Purple,,#d0d1de,64.0,valspar.com//en/colors/browse-colors/lowes/purple/daybreak-beckons-8003-48a
689,8001-47B,Eventide,Purple,,#cecfe8,64.0,valspar.com//en/colors/browse-colors/lowes/purple/eventide-8001-47b
690,8003-22B,Peasant Bread,Yellow,,#e1ceb3,64.0,valspar.com//en/colors/browse-colors/lowes/yellow/peasant-bread-8003-22b
691,8003-36B,Juniper Mist,Green,,#c7d5c9,64.0,valspar.com//en/colors/browse-colors/lowes/green/juniper-mist-8003-36b
692,8001-27D,Matcha,Green,,#dbd564,64.0,valspar.com//en/colors/browse-colors/lowes/green/matcha-8001-27d
693,8001-26D,Master Gardener,Green,The Bold Collection,#e2d388,64.0,valspar.com//en/colors/browse-colors/lowes/green/master-gardener-8001-26d
694,8003-41A,Bahama Breezes,Blue,,#c0d6de,64.0,valspar.com//en/colors/browse-colors/lowes/blue/bahama-breezes-8003-41a
695,8002-41A,Easy Breezy,Blue,,#b8d7de,64.0,valspar.com//en/colors/browse-colors/lowes/blue/easy-breezy-8002-41a
696,8005-7B,Aged Parchment,Neutral,,#ddcfb9,64.0,valspar.com//en/colors/browse-colors/lowes/neutral/aged-parchment-8005-7b
697,8005-5A,Gentle Shadows,Neutral,,#dacfc0,64.0,valspar.com//en/colors/browse-colors/lowes/neutral/gentle-shadows-8005-5a
698,8004-10C,Marshmallow Cocoa,Neutral,,#e2cec2,64.0,valspar.com//en/colors/browse-colors/lowes/neutral/marshmallow-cocoa-8004-10c
699,8004-18B,Classic Khaki,Neutral,"Popular,The Soft Collection",#e2cfb2,64.0,valspar.com//en/colors/browse-colors/lowes/neutral/classic-khaki-8004-18b
700,T566,Woolen Sox,Neutral,The Classic Collection,#e1cfb8,63.993,valspar.com//en/colors/browse-colors/independent-retailers/neutral/woolen-sox-t566
701,M244,Barest Celadon,Neutral,The Bold Collection,#d5d2c0,63.959,valspar.com//en/colors/browse-colors/independent-retailers/neutral/barest-celadon-m244
702,1004-4B,Dreamy Memory,Purple,,#eac8d9,63.931,valspar.com//en/colors/browse-colors/lowes/purple/dreamy-memory-1004-4b
703,T564,Misty Mink,Neutral,The Classic Collection,#e0cec3,63.916,valspar.com//en/colors/browse-colors/independent-retailers/neutral/misty-mink-t564
704,T650,Understated,Neutral,The Classic Collection,#d8d1ba,63.901,valspar.com//en/colors/browse-colors/independent-retailers/neutral/understated-t650
705,T535,Elafonisi Beach,Neutral,The Classic Collection,#e2cebb,63.894,valspar.com//en/colors/browse-colors/independent-retailers/neutral/elafonisi-beach-t535
706,4008-5A,Pale Flowers,Blue,,#bed5de,63.868,valspar.com//en/colors/browse-colors/lowes/blue/pale-flowers-4008-5a
707,2003-10C,Champagne Glee,Neutral,,#e0cec5,63.864,valspar.com//en/colors/browse-colors/lowes/neutral/champagne-glee-2003-10c
708,T526,Hagar Shores,Neutral,The Classic Collection,#e9cdaf,63.842,valspar.com//en/colors/browse-colors/independent-retailers/neutral/hagar-shores-t526
709,4001-1A,White Pepper,Gray,,#d4d0cf,63.775,valspar.com//en/colors/browse-colors/lowes/gray/white-pepper-4001-1a
710,T555,Perfect Crust,Neutral,The Classic Collection,#dad0c1,63.764,valspar.com//en/colors/browse-colors/independent-retailers/neutral/perfect-crust-t555
711,5006-5B,Aloe Vera,Green,,#c4d5c8,63.677,valspar.com//en/colors/browse-colors/lowes/green/aloe-vera-5006-5b
712,V084-2,Fresh-Baked,Neutral,,#e7ccba,63.623,valspar.com//en/colors/browse-colors/independent-retailers/neutral/fresh-baked-v084-2
713,3002-6B,Amber Waves,Orange,Popular,#f3ca9c,63.582,valspar.com//en/colors/browse-colors/lowes/orange/amber-waves-3002-6b
714,V178,Fossil White,Neutral,,#e0ceb6,63.578,valspar.com//en/colors/browse-colors/independent-retailers/neutral/fossil-white-v178
715,V080-2,Canyon Hush,Red,,#f4c7bd,63.566,valspar.com//en/colors/browse-colors/independent-retailers/red/canyon-hush-v080-2
716,V135-1,Gentle Shadows,Neutral,,#dacfc0,63.522,valspar.com//en/colors/browse-colors/independent-retailers/neutral/gentle-shadows-v135-1
717,4005-3A,Tinsel Beam,Blue,,#c6d3db,63.515,valspar.com//en/colors/browse-colors/lowes/blue/tinsel-beam-4005-3a
718,1002-2B,Pink Quartz,Red,,#f1c5d7,63.491,valspar.com//en/colors/browse-colors/lowes/red/pink-quartz-1002-2b
719,V083-2,Renaissance Fresco,Orange,,#ebcab8,63.421,valspar.com//en/colors/browse-colors/independent-retailers/orange/renaissance-fresco-v083-2
720,6007-5B,Plum Passion,Green,,#dbd1a4,63.377,valspar.com//en/colors/browse-colors/lowes/green/plum-passion-6007-5b
721,P042,Mermaid Cheeks,Orange,The Classic Collection,#fdc3b3,63.365,valspar.com//en/colors/browse-colors/independent-retailers/orange/mermaid-cheeks-p042
722,2008-8C,Strawberry Malt,Orange,,#e5ccb6,63.345,valspar.com//en/colors/browse-colors/lowes/orange/strawberry-malt-2008-8c
723,M203,Warm Heart,Red,The Bold Collection,#f8c5ba,63.256,valspar.com//en/colors/browse-colors/independent-retailers/red/warm-heart-m203
724,M323,Sunlit Sea,Green,The Soft Collection,#c3d5c2,63.168,valspar.com//en/colors/browse-colors/independent-retailers/green/sunlit-sea-m323
725,V054-3,Sweet Corn,Yellow,,#fac875,63.164,valspar.com//en/colors/browse-colors/independent-retailers/yellow/sweet-corn-v054-3
726,5008-9C,Fresh Mist,Blue,,#93dece,63.073,valspar.com//en/colors/browse-colors/lowes/blue/fresh-mist-5008-9c
727,P004,Satin Teddy,Red,The Classic Collection,#e2cbc7,63.068,valspar.com//en/colors/browse-colors/independent-retailers/red/satin-teddy-p004
728,3001-10C,Tagsale Linen,Neutral,The Soft Collection,#e1cdbc,63.064,valspar.com//en/colors/browse-colors/lowes/neutral/tagsale-linen-3001-10c
729,5008-5B,Jaded Lime,Green,,#c0d7b4,63.02,valspar.com//en/colors/browse-colors/lowes/green/jaded-lime-5008-5b
730,8003-33B,Budding Green,Green,,#c7d3c2,63.0,valspar.com//en/colors/browse-colors/lowes/green/budding-green-8003-33b
731,8005-2B,Moon Shot,Neutral,,#d4cfc7,63.0,valspar.com//en/colors/browse-colors/lowes/neutral/moon-shot-8005-2b
732,8004-13B,Wisp of Cocoa,Neutral,The Natural Collection,#decdbc,63.0,valspar.com//en/colors/browse-colors/lowes/neutral/wisp-of-cocoa-8004-13b
733,8006-4B,Silver Thistle Down,Gray,The Classic Collection,#d1d0ca,63.0,valspar.com//en/colors/browse-colors/lowes/gray/silver-thistle-down-8006-4b
734,8004-41A,Spun Sugar,Gray,,#c8d1d6,63.0,valspar.com//en/colors/browse-colors/lowes/gray/spun-sugar-8004-41a
735,8004-29B,Misty Memory,Gray,,#d0d1c4,63.0,valspar.com//en/colors/browse-colors/lowes/gray/misty-memory-8004-29b
736,T654,Sonnet Gray,White,The Classic Collection,#cbd1ce,62.888,valspar.com//en/colors/browse-colors/independent-retailers/white/sonnet-gray-t654
737,5007-9B,Aqua Glow,Blue,,#a8dacf,62.84,valspar.com//en/colors/browse-colors/lowes/blue/aqua-glow-5007-9b
738,1008-2B,Peach Whisper,Red,,#fac2be,62.821,valspar.com//en/colors/browse-colors/lowes/red/peach-whisper-1008-2b
739,V120-1,Silver Thistle Down,Gray,Popular,#d1d0ca,62.79,valspar.com//en/colors/browse-colors/independent-retailers/gray/silver-thistle-down-v120-1
740,V144-2,Misty Memory,Gray,,#d0d1c4,62.787,valspar.com//en/colors/browse-colors/independent-retailers/gray/misty-memory-v144-2
741,7003-1,Parlour Taupe,White,,#dbcebc,62.767,valspar.com//en/colors/browse-colors/lowes/white/parlour-taupe-7003-1
742,1001-6B,Purpling Dawn,Purple,,#d5ccdc,62.753,valspar.com//en/colors/browse-colors/lowes/purple/purpling-dawn-1001-6b
743,3007-6A,Honeysuckle Beige,Yellow,The Classic Collection,#ebcb94,62.664,valspar.com//en/colors/browse-colors/lowes/yellow/honeysuckle-beige-3007-6a
744,V123-1,Moon Shot,Gray,,#d4cfc7,62.648,valspar.com//en/colors/browse-colors/independent-retailers/gray/moon-shot-v123-1
745,T636,Budding Green,Green,The Classic Collection,#c7d3c2,62.622,valspar.com//en/colors/browse-colors/independent-retailers/green/budding-green-t636
746,M151,Wisp of Cocoa,Neutral,The Natural Collection,#decdbc,62.612,valspar.com//en/colors/browse-colors/independent-retailers/neutral/wisp-of-cocoa-m151
747,V124-2,Apollo,Gray,Popular,#d2cfcd,62.609,valspar.com//en/colors/browse-colors/independent-retailers/gray/apollo-v124-2
748,V053-3,Buttered Up,Yellow,,#f7c880,62.557,valspar.com//en/colors/browse-colors/independent-retailers/yellow/buttered-up-v053-3
749,1003-8C,Lilac Lace,Purple,,#ddcad3,62.546,valspar.com//en/colors/browse-colors/lowes/purple/lilac-lace-1003-8c
750,4007-7B,Escape,Blue,,#b4d4e8,62.456,valspar.com//en/colors/browse-colors/lowes/blue/escape-4007-7b
751,V146-1,Secluded Beach,Neutral,Popular,#d3cfc2,62.416,valspar.com//en/colors/browse-colors/independent-retailers/neutral/secluded-beach-v146-1
752,V129-2,Rabbit's Foot,Neutral,,#dacdc2,62.357,valspar.com//en/colors/browse-colors/independent-retailers/neutral/rabbits-foot-v129-2
753,3005-6B,Sweet Treats,Yellow,,#ecca9b,62.3,valspar.com//en/colors/browse-colors/lowes/yellow/sweet-treats-3005-6b
754,V078-2,Pocketful of Promise,Red,,#e3c9c9,62.291,valspar.com//en/colors/browse-colors/independent-retailers/red/pocketful-of-promise-v078-2
755,1004-8B,Lilac Buds,Purple,,#dfcacb,62.281,valspar.com//en/colors/browse-colors/lowes/purple/lilac-buds-1004-8b
756,T668,Passing Shadow,Gray,The Classic Collection,#d0cfc6,62.232,valspar.com//en/colors/browse-colors/independent-retailers/gray/passing-shadow-t668
757,M230,Seed Cathedral,White,The Bold Collection,#d7cdc6,62.212,valspar.com//en/colors/browse-colors/independent-retailers/white/seed-cathedral-m230
758,T659,Upstate,White,The Classic Collection,#d1cfc1,62.165,valspar.com//en/colors/browse-colors/independent-retailers/white/upstate-t659
759,V142-2,Chilean Sea Bass,Gray,,#cdd0c7,62.103,valspar.com//en/colors/browse-colors/independent-retailers/gray/chilean-sea-bass-v142-2
760,1001-10B,March Ice,Neutral,,#d8ccc5,62.059,valspar.com//en/colors/browse-colors/lowes/neutral/march-ice-1001-10b
761,T646,Kilimanjaro,Gray,The Classic Collection,#c8d1c3,62.019,valspar.com//en/colors/browse-colors/independent-retailers/gray/kilimanjaro-t646
762,8002-1B,Hampstead Heath,Purple,,#d8cadf,62.0,valspar.com//en/colors/browse-colors/lowes/purple/hampstead-heath-8002-1b
763,8001-24D,Seth's Smile,Yellow,,#e8ce6c,62.0,valspar.com//en/colors/browse-colors/lowes/yellow/seths-smile-8001-24d
764,8004-9B,Rabbit's Foot,Neutral,,#dacdc2,62.0,valspar.com//en/colors/browse-colors/lowes/neutral/rabbits-foot-8004-9b
765,8004-7A,Dusky Morn,Neutral,,#d7cdc6,62.0,valspar.com//en/colors/browse-colors/lowes/neutral/dusky-morn-8004-7a
766,8004-5B,Pink Chantilly,Neutral,,#ddcac6,62.0,valspar.com//en/colors/browse-colors/lowes/neutral/pink-chantilly-8004-5b
767,8006-8A,Highlights,Gray,,#c9d0d4,62.0,valspar.com//en/colors/browse-colors/lowes/gray/highlights-8006-8a
768,8004-3B,Dusk in the Valley,Gray,,#d4cdcb,62.0,valspar.com//en/colors/browse-colors/lowes/gray/dusk-in-the-valley-8004-3b
769,8004-32B,Three Wishes,Gray,,#cbd0c9,62.0,valspar.com//en/colors/browse-colors/lowes/gray/three-wishes-8004-32b
770,8004-30C,Chilean Sea Bass,Gray,,#cdd0c7,62.0,valspar.com//en/colors/browse-colors/lowes/gray/chilean-sea-bass-8004-30c
771,V100-2,Take a Hike,Blue,,#c3d2cc,61.996,valspar.com//en/colors/browse-colors/independent-retailers/blue/take-a-hike-v100-2
772,V052-2,Halcyon Days,Yellow,,#f8c681,61.989,valspar.com//en/colors/browse-colors/independent-retailers/yellow/halcyon-days-v052-2
773,V140-2,Three Wishes,Gray,,#cbd0c9,61.98,valspar.com//en/colors/browse-colors/independent-retailers/gray/three-wishes-v140-2
774,V103-2,Hatchling Blue,Blue,,#b5d4d8,61.974,valspar.com//en/colors/browse-colors/independent-retailers/blue/hatchling-blue-v103-2
775,4006-9B,Gentle Wind,Blue,,#afd4eb,61.945,valspar.com//en/colors/browse-colors/lowes/blue/gentle-wind-4006-9b
776,2007-2A,Cantaloupe Smile,Orange,,#ffc16f,61.765,valspar.com//en/colors/browse-colors/lowes/orange/cantaloupe-smile-2007-2a
777,T562,Mystère,Purple,The Classic Collection,#d7ccca,61.765,valspar.com//en/colors/browse-colors/independent-retailers/purple/mystere-t562
778,V127-2,Dusk in the Valley,Neutral,,#d4cdcb,61.748,valspar.com//en/colors/browse-colors/independent-retailers/neutral/dusk-in-the-valley-v127-2
779,5007-3B,Mellow Spring,Green,,#c9d1c0,61.744,valspar.com//en/colors/browse-colors/lowes/green/mellow-spring-5007-3b
780,V133-2,Manilla Rope,Neutral,,#dcccbb,61.744,valspar.com//en/colors/browse-colors/independent-retailers/neutral/manilla-rope-v133-2
781,5006-7B,Crystal Aqua,Blue,,#a8d7d7,61.739,valspar.com//en/colors/browse-colors/lowes/blue/crystal-aqua-5006-7b
782,V128-2,Pink Chantilly,Neutral,,#ddcac6,61.727,valspar.com//en/colors/browse-colors/independent-retailers/neutral/pink-chantilly-v128-2
783,T676,Breezy Day,Gray,The Classic Collection,#cad0c6,61.652,valspar.com//en/colors/browse-colors/independent-retailers/gray/breezy-day-t676
784,V102-2,Lakeside Find,Blue,,#bad3d3,61.637,valspar.com//en/colors/browse-colors/independent-retailers/blue/lakeside-find-v102-2
785,2004-6B,Special Peach,Orange,,#eec6ac,61.614,valspar.com//en/colors/browse-colors/lowes/orange/special-peach-2004-6b
786,P030,Adorbs,Blue,The Classic Collection,#c1d1d4,61.566,valspar.com//en/colors/browse-colors/independent-retailers/blue/adorbs-p030
787,V105-2,Shhh…,Blue,Popular,#bed1d6,61.528,valspar.com//en/colors/browse-colors/independent-retailers/blue/shhh-v105-2
788,4004-9B,Twilight Mist,Purple,Popular,#c4cee7,61.512,valspar.com//en/colors/browse-colors/lowes/purple/twilight-mist-4004-9b
789,6005-9C,Lush Meadow,Green,,#b8d892,61.461,valspar.com//en/colors/browse-colors/lowes/green/lush-meadow-6005-9c
790,5001-3B,Northern Sky,Gray,,#c8cfcc,61.453,valspar.com//en/colors/browse-colors/lowes/gray/northern-sky-5001-3b
791,3007-10C,Rattan Basket,Neutral,,#daccb7,61.449,valspar.com//en/colors/browse-colors/lowes/neutral/rattan-basket-3007-10c
792,V130-1,Basket of Bobbins,Neutral,,#d3cdc6,61.435,valspar.com//en/colors/browse-colors/independent-retailers/neutral/basket-of-bobbins-v130-1
793,M210,El Niño,Purple,The Bold Collection,#cccdd3,61.382,valspar.com//en/colors/browse-colors/independent-retailers/purple/el-nino-m210
794,V099-2,Fountain Foam,Blue,,#c6d0c7,61.338,valspar.com//en/colors/browse-colors/independent-retailers/blue/fountain-foam-v099-2
795,4008-1A,Bay Waves,Gray,Popular,#cccecc,61.331,valspar.com//en/colors/browse-colors/lowes/gray/bay-waves-4008-1a
796,V138-2,New North,Gray,,#c6cfd4,61.319,valspar.com//en/colors/browse-colors/independent-retailers/gray/new-north-v138-2
797,V056-2,Papyrus Plant,Yellow,,#e2cc8b,61.28,valspar.com//en/colors/browse-colors/independent-retailers/yellow/papyrus-plant-v056-2
798,V066-2,Clear Cove,Blue,,#a9d6d5,61.225,valspar.com//en/colors/browse-colors/independent-retailers/blue/clear-cove-v066-2
799,T561,Gravel Drive,Gray,The Classic Collection,#d0cdc8,61.22,valspar.com//en/colors/browse-colors/independent-retailers/gray/gravel-drive-t561
800,V112-2,Bottlefly Wings,Gray,Popular,#caced2,61.213,valspar.com//en/colors/browse-colors/independent-retailers/gray/bottlefly-wings-v112-2
801,V067-2,Droplet,Blue,,#a3d6dc,61.177,valspar.com//en/colors/browse-colors/independent-retailers/blue/droplet-v067-2
802,V064-2,Sea Inspired,Blue,,#b0d5ce,61.154,valspar.com//en/colors/browse-colors/independent-retailers/blue/sea-inspired-v064-2
803,V136-1,Mercury Glass,Gray,,#d0cccd,61.154,valspar.com//en/colors/browse-colors/independent-retailers/gray/mercury-glass-v136-1
804,P054,Home Brew,Yellow,The Classic Collection,#e5cb8d,61.152,valspar.com//en/colors/browse-colors/independent-retailers/yellow/home-brew-p054
805,4008-9B,Sonic Sky,Blue,,#a0d5ec,61.079,valspar.com//en/colors/browse-colors/lowes/blue/sonic-sky-4008-9b
806,V109-2,Faded Indigo,Blue,,#bfcfdb,61.051,valspar.com//en/colors/browse-colors/independent-retailers/blue/faded-indigo-v109-2
807,P039,Ooh La La,Red,The Classic Collection,#e0c6d8,61.05,valspar.com//en/colors/browse-colors/independent-retailers/red/ooh-la-la-p039
808,4006-1A,Silver Leaf,Gray,Popular,#cacece,61.02,valspar.com//en/colors/browse-colors/lowes/gray/silver-leaf-4006-1a
809,T661,Hazy,Gray,The Classic Collection,#c4ced9,61.014,valspar.com//en/colors/browse-colors/independent-retailers/gray/hazy-t661
810,3004-1B,Golden Spell,Yellow,,#ffc12b,61.006,valspar.com//en/colors/browse-colors/lowes/yellow/golden-spell-3004-1b
811,8004-1B,Whisper Soft,Purple,,#d1cbcf,61.0,valspar.com//en/colors/browse-colors/lowes/purple/whisper-soft-8004-1b
812,8002-9B,Pink Cashmere,Red,,#eec2bb,61.0,valspar.com//en/colors/browse-colors/lowes/red/pink-cashmere-8002-9b
813,8003-12C,Misty Loch,Orange,The Soft Collection,#e8c7b4,61.0,valspar.com//en/colors/browse-colors/lowes/orange/misty-loch-8003-12c
814,8003-27B,Platinum Sage,Green,,#d3ceb3,61.0,valspar.com//en/colors/browse-colors/lowes/green/platinum-sage-8003-27b
815,8002-25D,Papyrus Plant,Green,,#e2cc8b,61.0,valspar.com//en/colors/browse-colors/lowes/green/papyrus-plant-8002-25d
816,8001-29D,Sunny Lime,Green,,#bfd785,61.0,valspar.com//en/colors/browse-colors/lowes/green/sunny-lime-8001-29d
817,8003-46A,Quiet Rain,Blue,,#c2cedf,61.0,valspar.com//en/colors/browse-colors/lowes/blue/quiet-rain-8003-46a
818,8002-38C,Droplet,Blue,,#a3d6dc,61.0,valspar.com//en/colors/browse-colors/lowes/blue/droplet-8002-38c
819,8006-7B,Bottlefly Wings,Gray,,#caced2,61.0,valspar.com//en/colors/browse-colors/lowes/gray/bottlefly-wings-8006-7b
820,8002-24C,Home Brew,Yellow,Popular,#e5cb8d,61.0,valspar.com//en/colors/browse-colors/lowes/yellow/home-brew-8002-24c
821,T662,Salvaged Silk,Gray,The Classic Collection,#c3cfd5,60.97,valspar.com//en/colors/browse-colors/independent-retailers/gray/salvaged-silk-t662
822,3002-1B,Chickadee,Yellow,,#ffc03c,60.948,valspar.com//en/colors/browse-colors/lowes/yellow/chickadee-3002-1b
823,T634,Scottish Heath,Blue,The Classic Collection,#c5cfcd,60.936,valspar.com//en/colors/browse-colors/independent-retailers/blue/scottish-heath-t634
824,V041-3,Pink Icing,Red,,#f4bfd0,60.925,valspar.com//en/colors/browse-colors/independent-retailers/red/pink-icing-v041-3
825,2008-10B,Desert Fortress,Neutral,Popular,#dacab9,60.923,valspar.com//en/colors/browse-colors/lowes/neutral/desert-fortress-2008-10b
826,3002-3C,Peach Tea,Orange,,#ffc168,60.915,valspar.com//en/colors/browse-colors/lowes/orange/peach-tea-3002-3c
827,V107-2,Rich Porcelain Blue,Blue,,#bfcfd9,60.899,valspar.com//en/colors/browse-colors/independent-retailers/blue/rich-porcelain-blue-v107-2
828,V050-2,Burnished Gold,Orange,,#f3c58f,60.893,valspar.com//en/colors/browse-colors/independent-retailers/orange/burnished-gold-v050-2
829,V092-2,Oats and Honey,Neutral,2022 Color Of The Year,#eac892,60.837,valspar.com//en/colors/browse-colors/independent-retailers/neutral/oats-and-honey-v092-2
830,M308,Lark Wing,Gray,The Soft Collection,#c4cfd1,60.756,valspar.com//en/colors/browse-colors/independent-retailers/gray/lark-wing-m308
831,V047-3,Frosting on the Cake,Orange,Popular,#ffbf89,60.741,valspar.com//en/colors/browse-colors/independent-retailers/orange/frosting-on-the-cake-v047-3
832,V125-2,Whisper Soft,Gray,,#d1cbcf,60.724,valspar.com//en/colors/browse-colors/independent-retailers/gray/whisper-soft-v125-2
833,V049-3,Bronze Blush,Orange,,#fbc287,60.711,valspar.com//en/colors/browse-colors/independent-retailers/orange/bronze-blush-v049-3
834,V075-2,My Mona,Purple,Popular,#d4c9d7,60.676,valspar.com//en/colors/browse-colors/independent-retailers/purple/my-mona-v075-2
835,P014,Goldfinch,Yellow,The Classic Collection,#f2c58c,60.672,valspar.com//en/colors/browse-colors/independent-retailers/yellow/goldfinch-p014
836,V037-1,Beribboned,Blue,,#c2cde0,60.671,valspar.com//en/colors/browse-colors/independent-retailers/blue/beribboned-v037-1
837,V065-3,Electro Chill,Blue,,#9bd8d3,60.486,valspar.com//en/colors/browse-colors/independent-retailers/blue/electro-chill-v065-3
838,V141-3,Knightsbridge Mist,Gray,,#c5ceca,60.438,valspar.com//en/colors/browse-colors/independent-retailers/gray/knightsbridge-mist-v141-3
839,V106-2,Sailing on the Bay,Blue,,#b5d1dc,60.328,valspar.com//en/colors/browse-colors/independent-retailers/blue/sailing-on-the-bay-v106-2
840,V104-2,Grand Entrance,Blue,,#b2d1da,60.299,valspar.com//en/colors/browse-colors/independent-retailers/blue/grand-entrance-v104-2
841,5007-5B,Kiss of Mint,Green,,#bfd1b5,60.279,valspar.com//en/colors/browse-colors/lowes/green/kiss-of-mint-5007-5b
842,3008-8B,Ancient Scroll,Green,,#dccaa2,60.238,valspar.com//en/colors/browse-colors/lowes/green/ancient-scroll-3008-8b
843,V108-2,Arctic Circle,Blue,,#b9cfdc,60.222,valspar.com//en/colors/browse-colors/independent-retailers/blue/arctic-circle-v108-2
844,5005-3B,Sparkling Sage,Green,The Classic Collection,#cacdc1,60.22,valspar.com//en/colors/browse-colors/lowes/green/sparkling-sage-5005-3b
845,V068-2,Soothing Blue,Blue,,#aed2dc,60.159,valspar.com//en/colors/browse-colors/independent-retailers/blue/soothing-blue-v068-2
846,P019,Artichoke Mist,Green,The Classic Collection,#d9cc93,60.125,valspar.com//en/colors/browse-colors/independent-retailers/green/artichoke-mist-p019
847,V072-2,Prestige Blue,Blue,,#b7cfe2,60.083,valspar.com//en/colors/browse-colors/independent-retailers/blue/prestige-blue-v072-2
